Configuration,Model,Num_Features,Training_Time_sec,Accuracy,Precision,Recall,F1_Score,ROC_AUC
1_Raw,Logistic Regression,30,35.237937211990356,0.9992275552122467,0.8375,0.6836734693877551,0.7528089887640449,0.9462308206906849
1_Raw,Random Forest,30,110.46546125411987,0.9995962220427653,0.9411764705882353,0.8163265306122449,0.8743169398907104,0.9630272515590367
2_Cleaned,Logistic Regression,30,4.428796768188477,0.9277859614264671,0.000948316737790422,0.6666666666666666,0.001893939393939394,0.9732881092686492
2_Cleaned,Random Forest,30,104.0551369190216,0.9997259429276146,0.0,0.0,0.0,0.6550979854734822
3_Cleaned_Filter_MI,Logistic Regression,15,0.5597922801971436,0.8523174951183584,0.0006954102920723226,1.0,0.001389854065323141,0.991754602347997
3_Cleaned_Filter_MI,Random Forest,15,51.66046094894409,0.9998972285978555,0.0,0.0,0.0,0.6574448403453473
4_Cleaned_Wrapper_RFE,Logistic Regression,10,0.5707941055297852,0.8305984721318215,0.0006063055780113178,1.0,0.001211876388608362,0.9716892786990088
4_Cleaned_Wrapper_RFE,Random Forest,10,49.81888198852539,0.999794457195711,0.0,0.0,0.0,0.6548638709972134
5_Cleaned_Embedded_RF,Logistic Regression,10,0.3414931297302246,0.827412558665342,0.0005951200158698671,1.0,0.0011895321173671688,0.9669841487369238
5_Cleaned_Embedded_RF,Random Forest,10,48.43812680244446,0.999794457195711,0.0,0.0,0.0,0.6567025261523
